artist_name,genres
Susie Suh,"['acoustic pop', 'folk-pop']"
BIGBANG,"['j-pop', 'k-hop', 'k-pop']"
Amy Diamond,"['europop', 'swedish electropop', 'swedish idol pop', 'swedish pop']"
DJ Snake,"['dance pop', 'edm', 'electronic trap', 'pop', 'tropical house']"
MAX,"['compositional ambient', 'focus', 'sleep', 'soundtrack']","['dance pop', 'indie poptimism', 'pop', 'post-teen pop', 'viral pop']",['focus'],"['k-indie', 'k-pop', 'korean pop', 'world worship']","['austindie', 'indie pop', 'indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock']",['groove room']
Kesha,"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']"
Desiigner,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'viral trap']"
Big Sean,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
Panic! At The Disco,"['emo', 'modern rock', 'pop punk', 'vegas indie']"
Hoang Dung
Hoobastank,"['alternative metal', 'funk metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge', 'rap rock']"
Jaymes Young,"['indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'pop']"
The Civil Wars,"['acoustic pop', 'folk-pop', 'indie folk', 'indiecoustica', 'neo mellow', 'new americana', 'stomp and holler']"
Passenger,['neo mellow'],"['progressive electro house', 'progressive house']"
Maroon 5,['pop'],['fake']
Isaiah,['australian pop'],"['hip hop', 'indie r&b', 'pop rap', 'rap', 'southern hip hop', 'underground hip hop']"
Owl City,"['pop', 'pop punk', 'pop rock', 'post-teen pop']",['deep sunset lounge']
Train,"['neo mellow', 'pop', 'pop quebecois', 'pop rap', 'pop rock']","['indian indie', 'indian rock']"
Avril Lavigne,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']"
Backstreet Boys,"['boy band', 'dance pop', 'europop', 'pop']"
Crush,"['k-indie', 'k-pop', 'korean pop', 'korean r&b']","['j-metal', 'otacore']"
Tim McGraw,"['contemporary country', 'country', 'country road']"
bailey,"['channel pop', 'post-teen pop', 'viral pop']","['folk-pop', 'indie r&b', 'neo mellow', 'neo soul', 'r&b', 'soul']",['indie electro-pop']
Bruno Mars,"['pop', 'post-teen pop']"
Mark Ronson,"['dance pop', 'pop']"
Logan Paul,['teen pop']
Jonas Brothers,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
CNCO,"['boy band', 'latin', 'latin pop', 'pop', 'reggaeton', 'tropical']"
Coldplay,"['permanent wave', 'pop']"
Amber Run,"['indie anthem-folk', 'indie folk', 'modern alternative rock', 'modern rock']"
Michael Learns To Rock,"['boy band', 'danish pop rock']"
Parachute,"['acoustic pop', 'indiecoustica', 'neo mellow', 'pop', 'pop punk', 'pop rock', 'post-teen pop', 'viral pop']","[""children's music""]",['worship'],['shimmer pop'],['military band']
Conor Maynard,"['dance pop', 'pop', 'post-teen pop', 'viral pop']"
Greyson Chance,"['australian pop', 'dance pop', 'pop', 'post-teen pop', 'teen pop', 'viral pop']"
Ronan Keating,"['europop', 'soft rock']"
Five For Fighting,"['acoustic pop', 'neo mellow', 'piano rock', 'pop rock', 'post-grunge']"
Jon Bellion,"['pop', 'pop rap']"
Juicy J,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
Adam Christopher,"['channel pop', 'viral pop']"
Future,"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']","['acoustic pop', 'chamber pop', 'indie anthem-folk', 'indie folk', 'indiecoustica', 'neo mellow', 'viral pop']","['alternative dance', 'chillwave', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'neo-psychedelic', 'new rave']","['indie poptimism', 'indie psych-rock', 'indietronica', 'vapor soul']","['epicore', 'scorecore', 'video game music']","['brazilian electronica', 'brazilian house']","['hip hop', 'rap', 'underground hip hop']"
Tuấn Hưng,['vietnamese pop']
Alessia Cara,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'r&b']"
Calvin Harris,"['edm', 'electro house', 'house', 'pop', 'progressive house']"
Adam Levine,['neo mellow']
Cheat Codes,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house']"
Matt Cardle,['talent show']
Perfect Two
Carpenters,"['adult standards', 'christmas', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
Richard Marx,"['album rock', 'mellow gold', 'new wave pop', 'soft rock']"
Nathan Sykes,"['dance pop', 'pop', 'post-teen pop', 'viral pop']"
Akon,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap']"
Landon Austin,"['channel pop', 'neo mellow', 'post-teen pop', 'viral pop']"
Rihanna,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']"
Daya,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
Gym Class Heroes,"['dance pop', 'emo', 'pop punk', 'pop rap']"
Lil Wayne,"['hip hop', 'pop rap', 'rap']"
Blue,"['dance pop', 'edm', 'pop', 'tropical house']","['boy band', 'dance pop', 'europop']","['eurodance', 'europop', 'italian disco']",['indie poptimism'],"['aussietronica', 'australian pop', 'deep australian indie']","['cyberpunk', 'industrial metal', 'industrial rock']","['album rock', 'art rock', 'blues-rock', 'classic rock', 'hard rock', 'metal', 'psychedelic rock', 'rock', 'soft rock', 'southern rock']"
Henry,"['k-pop', 'korean pop']","['chamber pop', 'folk-pop', 'indie anthem-folk', 'indie folk', 'indiecoustica', 'new americana', 'stomp and holler']","['british soundtrack', 'epicore', 'scorecore', 'soundtrack', 'video game music']","['chamber pop', 'indie folk', 'indie r&b', 'vapor soul']","['big room', 'deep big room', 'edm', 'electro house', 'moombahton', 'progressive electro house', 'sky room']","['adult standards', 'christmas', 'classic soundtrack', 'easy listening', 'lounge', 'vocal jazz']",['vocal jazz'],['focus']
Taylor Swift,"['dance pop', 'pop', 'post-teen pop']"
Khalid,"['indie r&b', 'pop']",['rif'],['islamic recitation'],['maghreb']
Calum Scott,['pop']
Lexi Walker
Joseph Vincent,['viral pop']
Lorde,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'pop']"
Guy Sebastian,['australian pop']
The Vamps,"['boy band', 'dance pop', 'pop', 'post-teen pop']",['deep surf music']
Lil Pump,['emo rap']
Lady Gaga,"['dance pop', 'pop']",['fake']
Unknown,"['bass trap', 'tracestep', 'tropical pop edm']","['art pop', 'chillwave', 'freak folk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'neo-psychedelic', 'new rave', 'portland indie']"
Only C,['vietnamese pop']
Thomas Gold,"['big room', 'deep big room', 'deep pop edm', 'deep tropical house', 'edm', 'electro house', 'funky tech house', 'german techno', 'house', 'progressive electro house', 'progressive house', 'sky room']"
Kina Grannis,"['acoustic pop', 'folk-pop', 'neo mellow', 'viral pop']"
Tori Kelly,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'viral pop']"
Family of the Year,['indie folk']
Eminem,"['detroit hip hop', 'g funk', 'hip hop', 'rap']"
