artist_name,song_name,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Ed Sheeran,"You Need Me, I Don't Need You",37,220413,0.749,0.837,7,-8.837,1,0.0512,0.162,0,0.525,0.927,103.483,4
Imagine Dragons,On Top Of The World,28,189840,0.507,0.923,0,-5.581,1,0.173,0.0818,4.63e-06,0.0951,0.768,99.252,4
Mariah Carey,I Want To Know What Love Is,24,207133,0.591,0.42,6,-6.399,1,0.0334,0.122,1.18e-06,0.168,0.318,79.957,4
Linkin Park,Burning In The Skies,42,253160,0.607,0.891,9,-4.56,0,0.0387,0.0417,0.00521,0.314,0.462,120.012,3
Linkin Park,Empty Spaces,0,18333,0.333,0.78,6,-16.711,0,0.0701,0.0174,0.9,0.878,0.038,80.293,5
Linkin Park,Waiting For The End,45,231680,0.487,0.961,4,-4.139,1,0.132,0.0415,1.15e-06,0.553,0.323,170.005,4
Linkin Park,Blackout,39,279453,0.543,0.923,9,-3.992,1,0.0768,0.194,0.00446,0.43,0.366,134.997,4
Linkin Park,Fallout,33,83053,0.108,0.151,7,-19.382,1,0.0388,0.861,0.464,0.111,0.0333,168.514,3
Linkin Park,The Catalyst,44,339853,0.56,0.925,0,-5.48,1,0.0362,0.0372,0,0.104,0.178,135.009,4
Linkin Park,New Divide - Live In Madrid,35,275653,0.51,0.938,5,-3.02,0,0.0466,8.8e-05,0,0.22,0.297,117.998,4
Linkin Park,Waiting For The End - Live In Madrid,32,244813,0.228,0.942,6,-4.992,0,0.153,0.000333,5.33e-06,0.991,0.374,85.016,4
Linkin Park,Breaking The Habit - Live In Madrid,33,240760,0.448,0.915,4,-3.542,0,0.0587,0.136,0,0.253,0.316,99.969,4
Linkin Park,The Catalyst - Live In Madrid,31,357440,0.512,0.949,0,-3.883,1,0.0444,0.00459,0,0.23,0.0645,134.935,4
Linkin Park,What I've Done - Live In Madrid,31,212506,0.562,0.924,5,-3.288,1,0.0331,0.00146,0,0.39,0.34,120.046,4
bailey,Safe & Sound,11,231493,0.646,0.324,0,-10.037,1,0.0555,0.775,4.34e-05,0.346,0.381,124.981,4
Grace Grundy,Perfect Strangers,0,185103,0.481,0.233,1,-6.58,1,0.0512,0.942,0,0.118,0.489,82.727,3
Straalen,Be Mine Tonight - Radio Edit,35,217083,0.738,0.385,10,-6.139,1,0.0451,0.339,0,0.111,0.416,84.878,4
Skylar Grey,I Will Return,52,236440,0.534,0.646,0,-7.533,1,0.0343,0.168,4.74e-06,0.151,0.0562,124.872,4
DJ Snake,Turn Down for What,71,213733,0.818,0.799,1,-4.1,0,0.156,0.00107,0.128,0.057,0.0815,100.014,4
Flo Rida,GDFR (feat. Sage The Gemini & Lookas),63,190185,0.657,0.827,5,-4.036,1,0.0734,0.000704,0.00534,0.065,0.69,145.889,4
J Balvin,Ay Vamos,7,226840,0.717,0.788,8,-3.621,0,0.0972,0.178,0.000131,0.105,0.888,173.934,4
DJ Shadow,Six Days - Remix,10,232000,0.641,0.943,5,-6.254,0,0.264,0.0351,0.000259,0.328,0.718,171.811,4
David Guetta,Blast off,47,188840,0.659,0.983,4,-4.065,1,0.151,0.00222,2.11e-06,0.162,0.118,127.949,4
Juicy J,Payback,55,237996,0.7,0.824,1,-6.029,1,0.0772,0.173,0,0.105,0.763,91.979,4
Prince Royce,My Angel,39,190264,0.633,0.727,11,-4.507,0,0.0397,0.136,0,0.511,0.572,120.065,4
Wiz Khalifa,Go Hard or Go Home,57,232772,0.651,0.741,4,-5.067,0,0.0408,0.00293,1.2e-05,0.217,0.386,168.02,4
Sevyn Streeter,How Bad Do You Want It (Oh Yeah),48,224738,0.519,0.87,7,-2.599,0,0.0901,0.0151,0.00184,0.493,0.53,139.841,4
